Date,Open,High,Low,Close,Adj Close,Volume
2021-10-18,17.290001,17.930000,16.270000,16.309999,16.309999,0
2021-10-19,16.090000,16.309999,15.570000,15.700000,15.700000,0
2021-10-20,15.820000,15.890000,15.290000,15.490000,15.490000,0
2021-10-21,16.059999,16.110001,14.920000,15.010000,15.010000,0
2021-10-22,15.350000,16.389999,14.840000,15.430000,15.430000,0
2021-10-25,16.139999,16.330000,15.100000,15.240000,15.240000,0
2021-10-26,15.020000,16.709999,14.900000,15.980000,15.980000,0
2021-10-27,15.790000,17.290001,15.540000,16.980000,16.980000,0
2021-10-28,17.059999,17.160000,16.230000,16.530001,16.530001,0
2021-10-29,17.400000,18.059999,16.129999,16.260000,16.260000,0
2021-11-01,16.850000,17.700001,16.320000,16.410000,16.410000,0
2021-11-02,16.540001,16.650000,15.890000,16.030001,16.030001,0
2021-11-03,16.110001,16.389999,14.900000,15.100000,15.100000,0
2021-11-04,15.060000,16.139999,14.730000,15.440000,15.440000,0
2021-11-05,15.590000,17.020000,14.950000,16.480000,16.480000,0
2021-11-08,17.230000,17.690001,16.440001,17.219999,17.219999,0
2021-11-09,17.430000,18.570000,17.209999,17.780001,17.780001,0
2021-11-10,17.740000,19.900000,17.219999,18.730000,18.730000,0
2021-11-11,18.340000,18.389999,17.270000,17.660000,17.660000,0
2021-11-12,17.490000,17.690001,16.150000,16.290001,16.290001,0
2021-11-15,17.030001,17.459999,16.490000,16.490000,16.490000,0
2021-11-16,16.860001,17.080000,16.030001,16.370001,16.370001,0
2021-11-17,16.360001,17.190001,16.280001,17.110001,17.110001,0
2021-11-18,16.809999,18.150000,16.379999,17.590000,17.590000,0
2021-11-19,17.360001,19.010000,17.230000,17.910000,17.910000,0
2021-11-22,18.200001,19.590000,17.350000,19.170000,19.170000,0
2021-11-23,20.240000,20.910000,19.030001,19.379999,19.379999,0
2021-11-24,19.170000,20.959999,18.520000,18.580000,18.580000,0
2021-11-26,26.620001,28.990000,23.879999,28.620001,28.620001,0
2021-11-29,25.309999,25.690001,21.709999,22.959999,22.959999,0
2021-11-30,26.230000,28.559999,23.709999,27.190001,27.190001,0
2021-12-01,24.920000,32.610001,22.379999,31.120001,31.120001,0
2021-12-02,29.440001,30.680000,27.150000,27.950001,27.950001,0
2021-12-03,26.950001,35.320000,25.889999,30.670000,30.670000,0
2021-12-06,28.990000,30.820000,26.750000,27.180000,27.180000,0
2021-12-07,24.580000,24.690001,21.580000,21.889999,21.889999,0
2021-12-08,21.740000,23.110001,19.850000,19.900000,19.900000,0
2021-12-09,20.309999,22.120001,19.940001,21.580000,21.580000,0
2021-12-10,21.270000,21.299999,18.690001,18.690001,18.690001,0
2021-12-13,19.290001,21.180000,18.959999,20.309999,20.309999,0
2021-12-14,19.670000,23.000000,19.670000,21.889999,21.889999,0
2021-12-15,21.600000,23.469999,19.020000,19.290001,19.290001,0
2021-12-16,18.559999,22.129999,18.190001,20.570000,20.570000,0
2021-12-17,20.700001,23.260000,20.490000,21.570000,21.570000,0
2021-12-20,25.889999,27.389999,22.850000,22.870001,22.870001,0
2021-12-21,22.280001,22.680000,20.900000,21.010000,21.010000,0
